training/actor/actor_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,time/epoch_time,time/total_time,step
0.50518465,1.5543454,-11.488338,-78.78099,-100.18841,16.119682,-29.03451,146.27414,-12.119282,-78.56009,-100.18314,0.084821954,0.0017273970127105712,423.28476119041443,160000
0.49127048,1.4046363,-4.5281434,-78.04739,-99.895874,7.8156376,-9.40188,92.22959,-3.5624003,-77.79126,-99.899826,0.13207032,0.0017178898334503174,431.87421345710754,165000
0.52536726,0.91003126,0.0,-80.27607,-100.20081,8.591035,-9.444425,102.89901,0.91550994,-79.94255,-100.18146,0.1563296,0.0017418816566467286,440.5836253166199,170000
0.45171413,1.7726445,-3.0696998,-78.61502,-99.93955,9.92447,-8.816272,112.7289,-5.38533,-78.415085,-99.93072,0.08369808,0.001774229335784912,449.45477533340454,175000
0.41430277,1.2634501,0.0,-75.84182,-99.62789,7.27667,-4.545514,86.31174,1.0107539,-75.51601,-99.62667,0.13672854,0.0017973665714263916,458.4416117668152,180000
0.49395928,1.1586657,0.0,-75.079796,-99.18595,5.2017665,-5.0744147,66.9425,0.064436376,-74.78566,-99.16689,0.118844435,0.0017979487419128419,467.43135952949524,185000
0.44907448,2.315445,0.0,-76.50691,-99.2554,24.82185,-15.416653,179.48804,0.9048913,-76.30806,-99.28925,0.10672782,0.0017548437595367433,476.2055821418762,190000
0.4103961,2.3103485,0.0,-78.69368,-99.08741,18.311346,-24.4331,169.89487,0.1381961,-78.51058,-99.09273,0.06313356,0.0017614209651947022,485.012690782547,195000
0.43593842,1.4453665,1.2375393,-77.652275,-99.457214,22.53948,-29.626625,178.3035,0.46520466,-77.49863,-99.46456,0.06900319,0.001753900957107544,493.78219962120056,200000
0.42405623,1.1657765,0.0,-79.159225,-99.04892,5.7345734,-9.935261,76.13463,0.092376366,-78.93576,-99.04656,0.079934075,0.011410615825653076,550.8352825641632,205000
0.49055696,8.945456,2.0807943,-76.66773,-98.916504,55.359966,-87.37833,492.0338,3.1085913,-76.486244,-98.891716,0.5687816,0.0016828202724456787,559.2493889331818,210000
0.4611867,4.1141214,0.0,-77.2921,-98.68191,24.5388,-38.8717,348.94257,1.0176697,-76.99083,-98.68782,0.07126775,0.0016922444343566894,567.7106146812439,215000
0.44370067,0.8535111,-10.807145,-77.25394,-98.36875,2.3571577,-2.01752,39.67028,-9.428745,-76.9969,-98.35649,0.061798118,0.0016947149276733398,576.1841928958893,220000
0.46895206,1.3236282,-10.347878,-77.28107,-98.10639,13.004222,-15.392494,121.07074,-9.062364,-77.06697,-98.1535,0.11408656,0.0017021008968353271,584.6947002410889,225000
0.48489636,2.1798153,0.0,-80.40721,-97.9715,45.951824,-51.35279,320.0822,-3.17277,-80.17018,-97.97568,0.061485827,0.001675361680984497,593.0715124607086,230000
0.46948814,1.7853918,0.0,-77.132385,-97.80136,16.746696,-14.99117,121.44484,-0.91435057,-76.92587,-97.77978,0.09516233,0.001620531702041626,601.1741745471954,235000
0.4344991,1.4386684,0.0,-78.25086,-97.74014,17.490818,-10.431896,103.60862,0.62562644,-78.01751,-97.7096,0.07421626,0.001659460973739624,609.4714832305908,240000
0.42356023,2.1111863,-11.670391,-77.66214,-97.602585,19.29245,-39.50922,199.8981,-10.9019985,-77.39018,-97.56331,0.060737602,0.0016708486080169677,617.8257296085358,245000
